x_label;y_label;cl_x;cl_y;hl_x;hl_y;tube_id
144;5;13;3,518;59,75;3,518;TUBE.417
146;5;12,188;3,518;60,562;3,518;TUBE.418
148;5;11,375;3,518;61,375;3,518;TUBE.419
150;5;10,562;3,518;62,188;3,518;TUBE.420
152;5;9,75;3,518;63;3,518;TUBE.421
154;5;8,938;3,518;63,812;3,518;TUBE.422
156;5;8,125;3,518;64,625;3,518;TUBE.423
158;5;7,312;3,518;65,438;3,518;TUBE.424
160;5;6,5;3,518;66,25;3,518;TUBE.425
162;5;5,688;3,518;67,062;3,518;TUBE.426
164;5;4,875;3,518;67,875;3,518;TUBE.427
166;5;4,062;3,518;68,688;3,518;TUBE.428
168;5;3,25;3,518;69,5;3,518;TUBE.429
170;5;2,438;3,518;70,312;3,518;TUBE.430
172;5;1,625;3,518;71,125;3,518;TUBE.431
174;5;0,812;3,518;71,938;3,518;TUBE.432
3;6;71,531;4,222;1,219;4,222;TUBE.433
5;6;70,719;4,222;2,031;4,222;TUBE.434
7;6;69,906;4,222;2,844;4,222;TUBE.435
9;6;69,094;4,222;3,656;4,222;TUBE.436
11;6;68,281;4,222;4,469;4,222;TUBE.437
13;6;67,469;4,222;5,281;4,222;TUBE.438
15;6;66,656;4,222;6,094;4,222;TUBE.439
17;6;65,844;4,222;6,906;4,222;TUBE.440
19;6;65,031;4,222;7,719;4,222;TUBE.441
21;6;64,219;4,222;8,531;4,222;TUBE.442
23;6;63,406;4,222;9,344;4,222;TUBE.443
25;6;62,594;4,222;10,156;4,222;TUBE.444
27;6;61,781;4,222;10,969;4,222;TUBE.445
29;6;60,969;4,222;11,781;4,222;TUBE.446
31;6;60,156;4,222;12,594;4,222;TUBE.447
33;6;59,344;4,222;13,406;4,222;TUBE.448
35;6;58,531;4,222;14,219;4,222;TUBE.449
37;6;57,719;4,222;15,031;4,222;TUBE.450
39;6;56,906;4,222;15,844;4,222;TUBE.451
41;6;56,094;4,222;16,656;4,222;TUBE.452
43;6;55,281;4,222;17,469;4,222;TUBE.453
45;6;54,469;4,222;18,281;4,222;TUBE.454
47;6;53,656;4,222;19,094;4,222;TUBE.455
49;6;52,844;4,222;19,906;4,222;TUBE.456
51;6;52,031;4,222;20,719;4,222;TUBE.457
53;6;51,219;4,222;21,531;4,222;TUBE.458
55;6;50,406;4,222;22,344;4,222;TUBE.459
57;6;49,594;4,222;23,156;4,222;TUBE.460
59;6;48,781;4,222;23,969;4,222;TUBE.461
61;6;47,969;4,222;24,781;4,222;TUBE.462
63;6;47,156;4,222;25,594;4,222;TUBE.463
65;6;46,344;4,222;26,406;4,222;TUBE.464
67;6;45,531;4,222;27,219;4,222;TUBE.465
69;6;44,719;4,222;28,031;4,222;TUBE.466
71;6;43,906;4,222;28,844;4,222;TUBE.467
73;6;43,094;4,222;29,656;4,222;TUBE.468
75;6;42,281;4,222;30,469;4,222;TUBE.469
77;6;41,469;4,222;31,281;4,222;TUBE.470
79;6;40,656;4,222;32,094;4,222;TUBE.471
81;6;39,844;4,222;32,906;4,222;TUBE.472
83;6;39,031;4,222;33,719;4,222;TUBE.473
85;6;38,219;4,222;34,531;4,222;TUBE.474
87;6;37,406;4,222;35,344;4,222;TUBE.475
89;6;35,344;4,222;37,406;4,222;TUBE.476
91;6;34,531;4,222;38,219;4,222;TUBE.477
93;6;33,719;4,222;39,031;4,222;TUBE.478
95;6;32,906;4,222;39,844;4,222;TUBE.479
97;6;32,094;4,222;40,656;4,222;TUBE.480
99;6;31,281;4,222;41,469;4,222;TUBE.481
